case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
26,26_cuad20_scc_28_condition_trigger,deepseek-v3,cuad,scc_28,20,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_condition_trigger_critical_b60_1778869740.json,56,380.50982189178467
27,27_cuad18_scc_6_handoff_invariant,deepseek-v3,cuad,scc_6,18,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_handoff_invariant_critical_b60_1778869144.json,60,445.9900529384613
28,28_sec_ex2118_scc_7_temporal_gate,deepseek-v3,sec_ex21,scc_7,18,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json,55,191.8492558002472
29,29_cuad17_scc_0_condition_trigger,deepseek-v3,cuad,scc_0,17,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_condition_trigger_critical_b60_1778869061.json,58,411.8054621219635
30,30_cuad16_scc_23_handoff_invariant,deepseek-v3,cuad,scc_23,16,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_handoff_invariant_critical_b60_1778868286.json,60,388.2570450305939
31,31_cuad14_scc_8_temporal_gate,deepseek-v3,cuad,scc_8,14,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_temporal_gate_critical_b60_1778868182.json,59,490.76849007606506
32,32_cuad12_scc_50_condition_trigger,deepseek-v3,cuad,scc_50,12,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_condition_trigger_critical_b60_1778868063.json,60,423.0967969894409
33,33_debian12_scc_8_handoff_invariant,deepseek-v3,debian,scc_8,12,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,56,227.21209025382996
34,34_sec_ex2112_scc_4_temporal_gate,deepseek-v3,sec_ex21,scc_4,12,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json,58,175.46926426887512
35,35_bgb11_scc_0_condition_trigger,deepseek-v3,bgb,scc_0,11,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json,60,198.51953268051147
36,36_debian11_scc_23_handoff_invariant,deepseek-v3,debian,scc_23,11,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,58,189.17094206809998
37,37_sec_ex2111_scc_1_temporal_gate,deepseek-v3,sec_ex21,scc_1,11,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json,56,187.6180989742279
38,38_sec_ex2110_scc_2_condition_trigger,deepseek-v3,sec_ex21,scc_2,10,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,48,179.69825100898743
39,39_bgb9_scc_7_handoff_invariant,deepseek-v3,bgb,scc_7,9,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json,60,220.81455516815186
40,40_sec_ex219_scc_1_temporal_gate,deepseek-v3,sec_ex21,scc_1,9,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,55,206.13740992546082
