case_id,model,domain,scc_size,template,lea_root_at_3,lea_risk_any,lea_risk_all,lea_compression,lea_calls,lea_tokens,lea_runtime,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,sa_calls,sa_runtime,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,naive_invalid,naive_calls,naive_runtime
058_gpt-4o_cuad18_scc_6_handoff_invariant,gpt-4o,cuad,18,handoff_invariant,True,True,False,0.5,18.0,79960.0,201.09209489822388,True,True,True,0.5,60.0,378.91031193733215,False,False,False,0.8333333333333334,False,1.0,57.96205282211304
059_gpt-4o_cuad18_scc_6_temporal_gate,gpt-4o,cuad,18,temporal_gate,True,True,False,0.5,18.0,80766.0,204.87826704978943,True,True,True,0.5,60.0,241.74254703521729,False,False,False,0.8333333333333334,False,1.0,48.26939415931702
060_gpt-4o_cuad18_scc_6_condition_trigger,gpt-4o,cuad,18,condition_trigger,True,True,False,0.5,18.0,96021.0,250.76371097564697,True,True,True,0.5,60.0,252.37758111953735,False,False,False,0.0,False,0.0,0.0
061_gpt-4o_cuad20_scc_28_direct_mutex,gpt-4o,cuad,20,direct_mutex,False,True,False,0.55,19.0,93219.0,504.4883041381836,True,True,False,0.55,60.0,362.99630784988403,False,False,False,0.75,False,1.0,46.773855209350586
062_gpt-4o_cuad20_scc_28_handoff_invariant,gpt-4o,cuad,20,handoff_invariant,True,False,False,0.55,20.0,105106.0,535.3711311817169,True,True,True,0.55,60.0,326.5590741634369,False,False,False,0.8,False,1.0,46.88510608673096
063_gpt-4o_cuad20_scc_28_temporal_gate,gpt-4o,cuad,20,temporal_gate,False,True,False,0.55,20.0,87969.0,500.1517310142517,True,True,True,0.55,60.0,453.64094614982605,False,False,False,0.0,False,0.0,0.0
064_gpt-4o_cuad20_scc_28_condition_trigger,gpt-4o,cuad,20,condition_trigger,True,True,False,0.55,20.0,92914.0,510.2805860042572,True,True,False,0.55,60.0,441.9958658218384,False,False,False,0.75,False,1.0,44.51206707954407
065_gpt-4o_cuad24_scc_21_direct_mutex,gpt-4o,cuad,24,direct_mutex,True,True,True,0.5416666666666667,24.0,81289.0,218.62803101539612,True,True,True,0.5416666666666667,60.0,239.6987988948822,False,False,False,0.8333333333333334,False,1.0,26.463788986206055
066_gpt-4o_cuad24_scc_21_handoff_invariant,gpt-4o,cuad,24,handoff_invariant,True,True,False,0.5416666666666667,24.0,85772.0,237.08299589157104,True,True,True,0.5416666666666667,57.0,261.7561538219452,False,False,False,0.0,False,0.0,0.0
067_gpt-4o_cuad24_scc_21_temporal_gate,gpt-4o,cuad,24,temporal_gate,True,True,False,0.5416666666666667,24.0,85785.0,224.7596390247345,True,True,False,0.5416666666666667,60.0,261.71732902526855,True,True,False,0.875,False,1.0,25.91309380531311
068_gpt-4o_cuad24_scc_21_condition_trigger,gpt-4o,cuad,24,condition_trigger,True,True,False,0.5416666666666667,24.0,86724.0,227.5202443599701,True,True,True,0.5416666666666667,60.0,227.80019521713257,False,False,False,0.0,False,0.0,0.0
069_gpt-4o_cuad25_scc_17_direct_mutex,gpt-4o,cuad,25,direct_mutex,False,True,True,0.52,25.0,115938.0,285.24941301345825,True,True,False,0.52,60.0,272.35966420173645,False,False,False,0.0,False,0.0,0.0
070_gpt-4o_cuad25_scc_17_handoff_invariant,gpt-4o,cuad,25,handoff_invariant,True,True,True,0.52,25.0,136231.0,333.14929580688477,True,True,True,0.52,60.0,371.7752249240875,False,False,False,0.0,False,0.0,0.0
071_gpt-4o_cuad25_scc_17_temporal_gate,gpt-4o,cuad,25,temporal_gate,True,True,True,0.52,25.0,134702.0,344.44537687301636,True,True,True,0.52,57.0,356.59743785858154,False,False,False,0.0,False,0.0,0.0
072_gpt-4o_cuad25_scc_17_condition_trigger,gpt-4o,cuad,25,condition_trigger,True,True,True,0.52,25.0,108693.0,251.65705704689026,True,True,True,0.52,60.0,382.6533818244934,False,False,False,0.0,False,0.0,0.0
073_gpt-4o_cuad28_scc_39_direct_mutex,gpt-4o,cuad,28,direct_mutex,True,True,False,0.5357142857142857,28.0,109239.0,275.6286427974701,False,True,False,0.5357142857142857,60.0,254.04940700531006,False,False,False,0.0,False,0.0,0.0
074_gpt-4o_cuad28_scc_39_handoff_invariant,gpt-4o,cuad,28,handoff_invariant,True,True,False,0.5357142857142857,27.0,105608.0,266.279257774353,True,True,True,0.5357142857142857,57.0,270.2318608760834,False,True,False,0.7857142857142857,False,1.0,57.6898889541626
075_gpt-4o_cuad28_scc_39_temporal_gate,gpt-4o,cuad,28,temporal_gate,True,True,False,0.5357142857142857,28.0,116057.0,295.5204930305481,False,True,False,0.5357142857142857,60.0,207.99131202697754,False,False,False,0.0,False,0.0,0.0
076_gpt-4o_cuad28_scc_39_condition_trigger,gpt-4o,cuad,28,condition_trigger,False,True,False,0.5357142857142857,28.0,113053.0,297.92740988731384,False,True,False,0.5357142857142857,60.0,280.2105121612549,False,False,False,0.0,False,0.0,0.0
077_gpt-4o_cuad34_scc_11_direct_mutex,gpt-4o,cuad,34,direct_mutex,True,True,False,0.5294117647058824,34.0,147824.0,374.7739131450653,True,True,True,0.5294117647058824,55.0,311.5615186691284,False,False,False,0.0,False,0.0,0.0
078_gpt-4o_cuad34_scc_11_handoff_invariant,gpt-4o,cuad,34,handoff_invariant,True,True,False,0.5294117647058824,33.0,165665.0,412.9120168685913,True,True,True,0.5294117647058824,60.0,333.6160891056061,False,False,False,0.0,False,0.0,0.0
079_gpt-4o_cuad34_scc_11_temporal_gate,gpt-4o,cuad,34,temporal_gate,True,True,False,0.5294117647058824,34.0,160576.0,419.44891715049744,True,True,True,0.5294117647058824,57.0,236.6475830078125,True,True,False,0.8529411764705882,False,1.0,75.2567310333252
080_gpt-4o_cuad34_scc_11_condition_trigger,gpt-4o,cuad,34,condition_trigger,True,True,False,0.5294117647058824,34.0,149798.0,383.27994894981384,True,True,True,0.5294117647058824,59.0,270.9233169555664,False,False,False,0.0,False,0.0,0.0
081_gemini-2.5-pro_debian11_scc_23_direct_mutex,gemini-2.5-pro,debian,11,direct_mutex,True,True,True,0.5454545454545454,8.0,48813.0,311.9225618839264,True,True,True,0.5454545454545454,45.0,382.16608476638794,True,True,True,0.5454545454545454,False,1.0,205.88035988807678
082_gemini-2.5-pro_debian11_scc_23_handoff_invariant,gemini-2.5-pro,debian,11,handoff_invariant,True,True,True,0.5454545454545454,10.0,65813.0,374.0704619884491,True,True,True,0.5454545454545454,59.0,485.79805064201355,True,True,True,0.4545454545454546,False,1.0,109.65920996665955
