block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
7,debian,12,12,temporal_gate,deepseek-v3,self_top3,5,4,3,0.3333333333333333,1.0,1.0,0.611111111111111,6881.333333333333,4739.0,2142.3333333333335
7,debian,12,12,temporal_gate,deepseek-v3,oracle_top3,5,4,3,0.3333333333333333,1.0,1.0,0.611111111111111,6881.333333333333,4739.0,2142.3333333333335
7,debian,12,12,temporal_gate,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.3333333333333333,0.5,6813.666666666667,4776.0,2037.6666666666667
7,debian,12,12,temporal_gate,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,0.6666666666666666,0.3333333333333333,7058.0,4776.0,2282.0
7,debian,12,12,temporal_gate,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.7777777777777778,13160.333333333334,4938.0,8222.333333333334
7,debian,12,12,temporal_gate,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.7777777777777778,12744.333333333334,4938.0,7806.333333333333
8,debian,12,12,condition_trigger,gpt-4o,self_top3,5,5,3,0.0,1.0,0.0,0.47222222222222215,6756.666666666667,4524.0,2232.6666666666665
8,debian,12,12,condition_trigger,gpt-4o,oracle_top3,5,5,3,0.0,1.0,0.0,0.5,6683.333333333333,4524.0,2159.3333333333335
8,debian,12,12,condition_trigger,deepseek-v3,self_top3,5,5,3,0.0,0.6666666666666666,0.6666666666666666,0.5555555555555556,6924.333333333333,4725.0,2199.3333333333335
8,debian,12,12,condition_trigger,deepseek-v3,oracle_top3,5,5,3,0.0,1.0,1.0,0.5,6982.666666666667,4725.0,2257.6666666666665
8,debian,12,12,condition_trigger,qwen2.5-72b,self_top3,5,5,3,0.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,6975.333333333333,4762.666666666667,2212.6666666666665
8,debian,12,12,condition_trigger,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,1.0,0.19444444444444442,7587.0,4762.333333333333,2824.6666666666665
8,debian,12,12,condition_trigger,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.75,11623.666666666666,4925.0,6698.666666666667
8,debian,12,12,condition_trigger,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.7777777777777778,10743.333333333334,4925.0,5818.333333333333
9,sec_ex21,9,9,direct_mutex,gpt-4o,self_top3,5,5,3,1.0,1.0,1.0,0.5555555555555556,3275.3333333333335,1464.0,1811.3333333333333
9,sec_ex21,9,9,direct_mutex,gpt-4o,oracle_top3,5,5,3,1.0,1.0,1.0,0.5555555555555556,3246.3333333333335,1464.0,1782.3333333333333
9,sec_ex21,9,9,direct_mutex,deepseek-v3,self_top3,5,5,3,1.0,1.0,1.0,0.4444444444444444,3503.3333333333335,1481.0,2022.3333333333333
9,sec_ex21,9,9,direct_mutex,deepseek-v3,oracle_top3,5,5,3,1.0,1.0,1.0,0.4444444444444444,3269.3333333333335,1473.0,1796.3333333333333
9,sec_ex21,9,9,direct_mutex,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.6666666666666666,0.2222222222222222,3496.3333333333335,1589.0,1907.3333333333333
9,sec_ex21,9,9,direct_mutex,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,1.0,0.07407407407407407,3622.6666666666665,1589.0,2033.6666666666667
9,sec_ex21,9,9,direct_mutex,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.6296296296296297,8066.0,1638.0,6428.0
