block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
7,debian,12,12,temporal_gate,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.75,13294.666666666666,4938.0,8356.666666666666
8,debian,12,12,condition_trigger,gpt-4o,self_top3,10,8,3,0.0,0.3333333333333333,0.0,0.5277777777777778,6693.333333333333,4524.0,2169.3333333333335
8,debian,12,12,condition_trigger,gpt-4o,oracle_risk_top3,10,8,3,0.0,1.0,0.0,0.5555555555555555,6435.0,4524.0,1911.0
8,debian,12,12,condition_trigger,gpt-4o,oracle_compression_top3,10,8,3,0.0,0.6666666666666666,0.0,0.5833333333333333,6491.0,4524.0,1967.0
8,debian,12,12,condition_trigger,deepseek-v3,self_top3,10,10,3,0.3333333333333333,1.0,1.0,0.5833333333333334,6905.666666666667,4725.0,2180.6666666666665
8,debian,12,12,condition_trigger,deepseek-v3,oracle_risk_top3,10,10,3,0.3333333333333333,1.0,1.0,0.611111111111111,6886.333333333333,4725.0,2161.3333333333335
8,debian,12,12,condition_trigger,deepseek-v3,oracle_compression_top3,10,10,3,0.0,0.0,0.0,0.75,6703.0,4725.0,1978.0
8,debian,12,12,condition_trigger,qwen2.5-72b,self_top3,10,10,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.611111111111111,6454.0,4762.666666666667,1691.3333333333333
8,debian,12,12,condition_trigger,qwen2.5-72b,oracle_risk_top3,10,10,3,0.3333333333333333,1.0,1.0,0.36111111111111116,6871.333333333333,4762.0,2109.3333333333335
8,debian,12,12,condition_trigger,qwen2.5-72b,oracle_compression_top3,10,10,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.611111111111111,6454.0,4762.666666666667,1691.3333333333333
8,debian,12,12,condition_trigger,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.7222222222222223,11861.666666666666,4925.0,6936.666666666667
8,debian,12,12,condition_trigger,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.75,12842.666666666666,4925.0,7917.666666666667
8,debian,12,12,condition_trigger,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.75,12842.666666666666,4925.0,7917.666666666667
9,sec_ex21,9,9,direct_mutex,gpt-4o,self_top3,10,10,3,1.0,1.0,0.6666666666666666,0.5185185185185185,3109.6666666666665,1464.0,1645.6666666666667
9,sec_ex21,9,9,direct_mutex,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3086.3333333333335,1464.0,1622.3333333333333
9,sec_ex21,9,9,direct_mutex,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,0.6666666666666666,0.6296296296296297,3029.0,1464.0,1565.0
9,sec_ex21,9,9,direct_mutex,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.5185185185185185,3206.3333333333335,1473.0,1733.3333333333333
9,sec_ex21,9,9,direct_mutex,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3171.0,1473.0,1698.0
9,sec_ex21,9,9,direct_mutex,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3171.0,1473.0,1698.0
9,sec_ex21,9,9,direct_mutex,qwen2.5-72b,self_top3,10,10,3,0.0,1.0,0.0,0.4444444444444444,3157.0,1589.3333333333333,1567.6666666666667
9,sec_ex21,9,9,direct_mutex,qwen2.5-72b,oracle_risk_top3,10,10,3,0.0,1.0,1.0,0.29629629629629634,3626.0,1589.6666666666667,2036.3333333333333
9,sec_ex21,9,9,direct_mutex,qwen2.5-72b,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.48148148148148145,3089.0,1589.3333333333333,1499.6666666666667
9,sec_ex21,9,9,direct_mutex,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,8296.666666666666,1638.0,6658.666666666667
9,sec_ex21,9,9,direct_mutex,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,8261.666666666666,1638.0,6623.666666666667
9,sec_ex21,9,9,direct_mutex,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,8261.666666666666,1638.0,6623.666666666667
10,sec_ex21,9,9,handoff_invariant,gpt-4o,self_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.5925925925925927,3165.6666666666665,1485.0,1680.6666666666667
10,sec_ex21,9,9,handoff_invariant,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3036.3333333333335,1485.0,1551.3333333333333
10,sec_ex21,9,9,handoff_invariant,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3036.3333333333335,1485.0,1551.3333333333333
10,sec_ex21,9,9,handoff_invariant,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3219.3333333333335,1494.0,1725.3333333333333
10,sec_ex21,9,9,handoff_invariant,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3244.0,1494.0,1750.0
10,sec_ex21,9,9,handoff_invariant,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3244.0,1494.0,1750.0
10,sec_ex21,9,9,handoff_invariant,qwen2.5-72b,self_top3,10,10,3,0.0,1.0,0.0,0.4444444444444444,3223.6666666666665,1610.0,1613.6666666666667
10,sec_ex21,9,9,handoff_invariant,qwen2.5-72b,oracle_risk_top3,10,10,3,0.3333333333333333,1.0,1.0,0.2592592592592593,3381.6666666666665,1610.0,1771.6666666666667
10,sec_ex21,9,9,handoff_invariant,qwen2.5-72b,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.4444444444444444,3339.0,1610.0,1729.0
10,sec_ex21,9,9,handoff_invariant,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,8366.333333333334,1664.0,6702.333333333333
10,sec_ex21,9,9,handoff_invariant,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,7361.666666666667,1664.0,5697.666666666667
10,sec_ex21,9,9,handoff_invariant,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,7361.666666666667,1664.0,5697.666666666667
11,sec_ex21,9,9,temporal_gate,gpt-4o,self_top3,10,10,3,1.0,1.0,1.0,0.5185185185185185,3138.3333333333335,1486.0,1652.3333333333333
11,sec_ex21,9,9,temporal_gate,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3041.0,1486.0,1555.0
11,sec_ex21,9,9,temporal_gate,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3041.0,1486.0,1555.0
11,sec_ex21,9,9,temporal_gate,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.5185185185185185,3270.0,1498.0,1772.0
11,sec_ex21,9,9,temporal_gate,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3277.3333333333335,1498.0,1779.3333333333333
11,sec_ex21,9,9,temporal_gate,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.5555555555555556,3277.3333333333335,1498.0,1779.3333333333333
11,sec_ex21,9,9,temporal_gate,qwen2.5-72b,self_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.4444444444444444,3179.6666666666665,1610.0,1569.6666666666667
11,sec_ex21,9,9,temporal_gate,qwen2.5-72b,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.48148148148148145,3141.3333333333335,1610.0,1531.3333333333333
11,sec_ex21,9,9,temporal_gate,qwen2.5-72b,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.48148148148148145,3141.3333333333335,1610.0,1531.3333333333333
11,sec_ex21,9,9,temporal_gate,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,7805.333333333333,1665.0,6140.333333333333
11,sec_ex21,9,9,temporal_gate,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,7805.333333333333,1665.0,6140.333333333333
11,sec_ex21,9,9,temporal_gate,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,7805.333333333333,1665.0,6140.333333333333
12,sec_ex21,9,9,condition_trigger,gpt-4o,self_top3,10,10,3,1.0,1.0,1.0,0.5925925925925927,3110.0,1495.0,1615.0
12,sec_ex21,9,9,condition_trigger,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3101.0,1495.0,1606.0
12,sec_ex21,9,9,condition_trigger,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6296296296296297,3101.0,1495.0,1606.0
12,sec_ex21,9,9,condition_trigger,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.3703703703703704,3450.6666666666665,1504.0,1946.6666666666667
12,sec_ex21,9,9,condition_trigger,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.40740740740740744,3403.0,1504.0,1899.0
12,sec_ex21,9,9,condition_trigger,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.40740740740740744,3403.0,1504.0,1899.0
12,sec_ex21,9,9,condition_trigger,qwen2.5-72b,self_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.40740740740740744,3116.0,1620.0,1496.0
12,sec_ex21,9,9,condition_trigger,qwen2.5-72b,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.3703703703703704,3455.3333333333335,1620.0,1835.3333333333333
12,sec_ex21,9,9,condition_trigger,qwen2.5-72b,oracle_compression_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.5185185185185186,3172.6666666666665,1620.0,1552.6666666666667
12,sec_ex21,9,9,condition_trigger,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.5925925925925927,8513.333333333334,1671.0,6842.333333333333
12,sec_ex21,9,9,condition_trigger,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,8274.333333333334,1671.0,6603.333333333333
12,sec_ex21,9,9,condition_trigger,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,8274.333333333334,1671.0,6603.333333333333
13,sec_ex21,10,10,direct_mutex,gpt-4o,self_top3,10,10,3,0.6666666666666666,1.0,0.3333333333333333,0.7000000000000001,3278.0,1543.0,1735.0
13,sec_ex21,10,10,direct_mutex,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.4666666666666666,3433.0,1543.0,1890.0
13,sec_ex21,10,10,direct_mutex,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,0.0,0.8000000000000002,3215.6666666666665,1543.0,1672.6666666666667
13,sec_ex21,10,10,direct_mutex,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.6333333333333333,3370.6666666666665,1558.0,1812.6666666666667
13,sec_ex21,10,10,direct_mutex,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,3194.6666666666665,1558.0,1636.6666666666667
13,sec_ex21,10,10,direct_mutex,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.6666666666666666,3194.6666666666665,1558.0,1636.6666666666667
13,sec_ex21,10,10,direct_mutex,qwen2.5-72b,self_top3,10,10,3,0.0,1.0,0.0,0.4000000000000001,3745.3333333333335,1686.3333333333333,2059.0
13,sec_ex21,10,10,direct_mutex,qwen2.5-72b,oracle_risk_top3,10,10,3,0.0,1.0,1.0,0.0,4366.666666666667,1686.3333333333333,2680.3333333333335
13,sec_ex21,10,10,direct_mutex,qwen2.5-72b,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.4666666666666666,3757.0,1686.0,2071.0
13,sec_ex21,10,10,direct_mutex,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.7333333333333334,8272.333333333334,1706.0,6566.333333333333
13,sec_ex21,10,10,direct_mutex,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.8000000000000002,8359.333333333334,1706.0,6653.333333333333
13,sec_ex21,10,10,direct_mutex,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.8000000000000002,8359.333333333334,1706.0,6653.333333333333
