case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
27,27_bgb25_scc_3_condition_trigger,gpt-4o,bgb,scc_3,25,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_condition_trigger_critical_b60_1778867752.json,56,191.78118419647217
28,28_bgb25_scc_3_handoff_invariant,gpt-4o,bgb,scc_3,25,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_handoff_invariant_critical_b60_1778867646.json,57,272.30370688438416
29,29_bgb25_scc_3_temporal_gate,gpt-4o,bgb,scc_3,25,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_temporal_gate_critical_b60_1778867723.json,57,253.14490604400635
30,30_cuad25_scc_17_condition_trigger,gpt-4o,cuad,scc_17,25,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_condition_trigger_critical_b60_1778870583.json,60,382.6533818244934
31,31_cuad25_scc_17_handoff_invariant,gpt-4o,cuad,scc_17,25,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_handoff_invariant_critical_b60_1778870536.json,60,371.7752249240875
32,32_cuad25_scc_17_temporal_gate,gpt-4o,cuad,scc_17,25,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_temporal_gate_critical_b60_1778870583.json,57,356.59743785858154
33,33_cuad24_scc_21_condition_trigger,gpt-4o,cuad,scc_21,24,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_condition_trigger_critical_b60_1778870171.json,60,227.80019521713257
34,34_cuad24_scc_21_handoff_invariant,gpt-4o,cuad,scc_21,24,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_handoff_invariant_critical_b60_1778869853.json,57,261.7561538219452
35,35_cuad24_scc_21_temporal_gate,gpt-4o,cuad,scc_21,24,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_temporal_gate_critical_b60_1778870158.json,60,261.71732902526855
36,36_cuad20_scc_28_condition_trigger,gpt-4o,cuad,scc_28,20,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_condition_trigger_critical_b60_1778869740.json,60,441.9958658218384
37,37_cuad20_scc_28_handoff_invariant,gpt-4o,cuad,scc_28,20,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_handoff_invariant_critical_b60_1778869665.json,60,326.5590741634369
38,38_cuad20_scc_28_temporal_gate,gpt-4o,cuad,scc_28,20,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_temporal_gate_critical_b60_1778869687.json,60,453.64094614982605
39,39_sec_ex2118_scc_1_handoff_invariant,gpt-4o,sec_ex21,scc_1,18,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_handoff_invariant_critical_b60_1778867131.json,60,199.3287181854248
40,40_sec_ex2118_scc_7_temporal_gate,gpt-4o,sec_ex21,scc_7,18,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json,60,189.38780784606934
