variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file,subset
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.8235294117647058,6,50,56,233729,264.1801919937134,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5294117647058824,16,60,60,239648,245.10579586029053,0,23,20,5,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,False,False,0.5294117647058824,16,60,65,253093,244.88391995429993,0,19,22,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5294117647058824,16,,,,236.6475830078125,18,17,17,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,False,False,0.9117647058823529,3,57,62,256914,267.29895782470703,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5294117647058824,16,60,67,264934,259.0502579212189,0,20,29,15,19,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5294117647058824,16,60,68,260412,279.25759506225586,0,23,15,9,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/23_cuad34_scc_11_temporal_gate__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5357142857142857,13,,,,280.2105121612549,18,23,13,5,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.8214285714285714,5,60,63,236972,212.21522307395935,19,0,0,51,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5357142857142857,13,60,62,223175,191.98853611946106,0,32,17,14,52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5357142857142857,13,60,63,226097,213.1567988395691,0,31,11,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/24_cuad28_scc_39_condition_trigger__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,,,,270.2318608760834,18,22,18,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,False,False,False,0.8571428571428572,4,57,58,217049,180.65928196907043,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,60,63,231921,205.08716011047363,0,37,13,11,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5357142857142857,13,60,62,214204,191.0208239555359,0,25,15,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/25_cuad28_scc_39_handoff_invariant__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5357142857142857,13,,,,207.99131202697754,18,22,14,5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.8214285714285714,5,60,60,217873,171.79321217536926,19,0,0,50,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5357142857142857,13,60,61,222328,190.60420489311218,0,38,8,8,37,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.5357142857142857,13,60,61,217100,170.1279890537262,0,36,10,1,21,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/26_cuad28_scc_39_temporal_gate__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.52,12,,,,191.78118419647217,18,25,6,3,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,False,False,False,0.64,9,60,61,238581,148.64612984657288,19,0,0,9,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,True,True,False,0.52,12,60,60,216700,142.279372215271,0,32,7,23,33,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,bgb_condition_trigger_pending_notice_critical,False,False,True,True,0.52,12,60,60,218568,138.10357809066772,0,33,4,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/27_bgb25_scc_3_condition_trigger__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.52,12,,,,272.30370688438416,18,23,8,4,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/28_bgb25_scc_3_handoff_invariant__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical,False,True,False,False,0.84,4,60,60,239203,135.21258282661438,19,0,0,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/28_bgb25_scc_3_handoff_invariant__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.52,12,59,60,213435,146.1838400363922,0,27,6,8,10,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/28_bgb25_scc_3_handoff_invariant__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,bgb_handoff_invariant_cure_class_critical,False,True,True,True,0.52,12,60,61,215854,146.6965959072113,0,33,4,3,10,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/28_bgb25_scc_3_handoff_invariant__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical,False,False,True,False,0.52,12,,,,253.14490604400635,18,33,1,2,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/29_bgb25_scc_3_temporal_gate__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical,False,True,True,False,0.76,6,60,60,238874,129.80502128601074,19,0,0,32,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/29_bgb25_scc_3_temporal_gate__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical,False,True,True,True,0.52,12,60,60,217277,139.73804903030396,0,33,9,5,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/29_bgb25_scc_3_temporal_gate__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,bgb_temporal_grace_period_gate_critical,False,True,True,False,0.52,12,60,60,214642,127.72608304023743,0,29,4,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/29_bgb25_scc_3_temporal_gate__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.52,12,,,,382.6533818244934,18,23,9,5,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/30_cuad25_scc_17_condition_trigger__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.8,5,60,75,330418,315.69536995887756,19,0,0,2,44,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/30_cuad25_scc_17_condition_trigger__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.52,12,60,70,305023,259.9295709133148,0,29,10,2,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/30_cuad25_scc_17_condition_trigger__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.52,12,60,67,283418,244.60901713371277,0,29,12,3,18,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/30_cuad25_scc_17_condition_trigger__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.52,12,,,,371.7752249240875,18,21,12,1,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/31_cuad25_scc_17_handoff_invariant__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.84,4,60,68,291048,253.2497329711914,19,0,0,1,45,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/31_cuad25_scc_17_handoff_invariant__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.52,12,60,71,323371,326.0967240333557,0,35,9,3,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/31_cuad25_scc_17_handoff_invariant__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.52,12,60,69,301844,275.77211594581604,0,27,13,3,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/31_cuad25_scc_17_handoff_invariant__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.52,12,,,,356.59743785858154,18,22,10,4,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/32_cuad25_scc_17_temporal_gate__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.92,2,60,69,293085,286.52277183532715,19,0,0,1,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/32_cuad25_scc_17_temporal_gate__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.52,12,60,70,310918,277.8836159706116,0,31,11,1,20,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/32_cuad25_scc_17_temporal_gate__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,cuad_temporal_notice_receipt_gate_critical,False,True,True,True,0.52,12,60,65,277743,234.40924286842346,0,33,9,3,22,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/32_cuad25_scc_17_temporal_gate__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5416666666666667,11,,,,227.80019521713257,18,31,22,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/33_cuad24_scc_21_condition_trigger__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.875,3,60,60,193827,161.69757890701294,19,0,0,1,59,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/33_cuad24_scc_21_condition_trigger__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.5416666666666667,11,60,61,195124,173.9358470439911,0,46,21,3,20,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/33_cuad24_scc_21_condition_trigger__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.5416666666666667,11,60,60,192506,159.65592002868652,0,44,25,17,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/33_cuad24_scc_21_condition_trigger__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5416666666666667,11,,,,261.7561538219452,18,22,25,8,56,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/34_cuad24_scc_21_handoff_invariant__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.7916666666666666,5,60,63,205644,208.1670138835907,19,0,0,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/34_cuad24_scc_21_handoff_invariant__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.5416666666666667,11,60,61,195080,167.72210001945496,0,45,17,4,23,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/34_cuad24_scc_21_handoff_invariant__no-relation-first-memory.json,extra_long20
