method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,medium,27_cuad18_scc_6_handoff_invariant,cuad,18,1,1,17,18,58102,28311,86413,224.58727192878723,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/27_cuad18_scc_6_handoff_invariant__lea.json
SA-MCGS,medium,27_cuad18_scc_6_handoff_invariant,cuad,18,1,1,44,64,209760,114217,323977,952.1429612636566,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/27_cuad18_scc_6_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,12,1,1,12,12,9811,7485,17296,63.84177803993225,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/28_sec_ex2118_scc_7_temporal_gate__lea.json
SA-MCGS,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,12,1,1,37,37,30669,24302,54971,206.3069019317627,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/28_sec_ex2118_scc_7_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,14,14,39761,15931,55692,131.2906460762024,False,False,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/29_cuad17_scc_0_condition_trigger__lea.json
SA-MCGS,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,40,40,105906,53323,159229,439.15646624565125,False,False,True,True,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/29_cuad17_scc_0_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,12,12,39348,16960,56308,138.71061778068542,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/30_cuad16_scc_23_handoff_invariant__lea.json
SA-MCGS,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,47,47,141963,69503,211466,598.5661628246307,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/30_cuad16_scc_23_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,14,14,37254,21069,58323,171.3394181728363,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/31_cuad14_scc_8_temporal_gate__lea.json
SA-MCGS,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,47,48,123552,71835,195387,584.4539370536804,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/31_cuad14_scc_8_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,12,12,33250,18441,51691,153.36452674865723,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/32_cuad12_scc_50_condition_trigger__lea.json
SA-MCGS,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,40,40,115840,65914,181754,547.4399132728577,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/32_cuad12_scc_50_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,10,10,17143,6941,24084,63.37238335609436,False,False,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/33_debian12_scc_8_handoff_invariant__lea.json
SA-MCGS,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,37,37,65469,23933,89402,209.33117723464966,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/33_debian12_scc_8_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,small,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,11,1,1,11,11,9318,6501,15819,57.82334280014038,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/34_sec_ex2112_scc_4_temporal_gate__lea.json
SA-MCGS,small,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,11,1,1,33,33,28418,19550,47968,190.8530192375183,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/34_sec_ex2112_scc_4_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,11,11,21493,9617,31110,1121.8842658996582,False,False,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/35_bgb11_scc_0_condition_trigger__lea.json
SA-MCGS,small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,43,43,84169,35625,119794,310.6669092178345,False,False,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/35_bgb11_scc_0_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,36_debian11_scc_23_handoff_invariant,debian,11,1,1,8,8,11779,4246,16025,36.13176679611206,False,False,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/36_debian11_scc_23_handoff_invariant__lea.json
SA-MCGS,small,36_debian11_scc_23_handoff_invariant,debian,11,1,1,23,23,37237,11498,48735,110.93270111083984,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/36_debian11_scc_23_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,37_sec_ex2111_scc_1_temporal_gate,sec_ex21,18,1,1,18,18,22080,10772,32852,106.8892548084259,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/37_sec_ex2111_scc_1_temporal_gate__lea.json
SA-MCGS,medium,37_sec_ex2111_scc_1_temporal_gate,sec_ex21,18,1,1,42,42,51749,21221,72970,217.7088360786438,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/37_sec_ex2111_scc_1_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,38_sec_ex2110_scc_2_condition_trigger,sec_ex21,12,1,1,12,12,11304,9155,20459,81.65785694122314,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/38_sec_ex2110_scc_2_condition_trigger__lea.json
SA-MCGS,small,38_sec_ex2110_scc_2_condition_trigger,sec_ex21,12,1,1,49,49,47805,33670,81475,302.23779797554016,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/38_sec_ex2110_scc_2_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,39_bgb9_scc_7_handoff_invariant,bgb,9,1,1,9,9,28419,7487,35906,70.0180549621582,False,True,True,False,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/39_bgb9_scc_7_handoff_invariant__lea.json
SA-MCGS,small,39_bgb9_scc_7_handoff_invariant,bgb,9,1,1,41,41,131413,33810,165223,340.46284103393555,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/39_bgb9_scc_7_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,40_sec_ex219_scc_1_temporal_gate,sec_ex21,18,1,1,18,18,22080,10243,32323,95.49878597259521,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/40_sec_ex219_scc_1_temporal_gate__lea.json
SA-MCGS,medium,40_sec_ex219_scc_1_temporal_gate,sec_ex21,18,1,1,41,41,50918,19667,70585,214.7440800666809,False,True,True,True,0.6111111111111112,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/40_sec_ex219_scc_1_temporal_gate__sa-mcgs.json
